Model,Dataset,PCA,Scaling,MSE,MAE,R2
Linear Regression,Entire dataset,False,Standard Scaler,0.05613368137546828,0.1776814615395423,0.2658327565350566
Linear Regression,Entire dataset,9,Standard Scaler,0.06883510395866772,0.21460712809313515,0.10223313630270373
Linear Regression,Entire dataset,11,Standard Scaler,0.06699100470680608,0.21145296099276845,0.1263306479266192
Linear Regression,Entire dataset,98,Standard Scaler,0.04508216418720091,0.16701906587931578,0.41144323419662515
Linear Regression,Entire dataset,False,Power Transform,0.05619172939450869,0.17764707598740337,0.26491465700481437
Linear Regression,Entire dataset,9,Power Transform,0.06918933234137499,0.21536850570022845,0.09748316247414708
Linear Regression,Entire dataset,11,Power Transform,0.06632885127785478,0.20935430433362168,0.13456360226272296
Linear Regression,Entire dataset,98,Power Transform,0.045147220539689295,0.16760690107528287,0.41046387918799476
Linear Regression,Entire dataset,False,Power Transform Standardized,0.056196293475463045,0.17765193095871573,0.2648566568219106
Linear Regression,Entire dataset,9,Power Transform Standardized,0.06529632455794006,0.20777209220651333,0.1483614233874652
Linear Regression,Entire dataset,11,Power Transform Standardized,0.06423504541958039,0.20558772505267736,0.1621497659886066
Linear Regression,Entire dataset,98,Power Transform Standardized,0.04525917414053871,0.16760100392173377,0.40903413449709786
Support Vector Machine,Entire dataset,False,Standard Scaler,0.0273434015484142,0.12693700310304892,0.6428131880577386
Support Vector Machine,Entire dataset,9,Standard Scaler,0.0520203973499707,0.17741742359397017,0.3211858600271386
Support Vector Machine,Entire dataset,11,Standard Scaler,0.04830660241830964,0.17048641681698565,0.3693490638866688
Support Vector Machine,Entire dataset,98,Standard Scaler,0.028249710785336585,0.1271886559603221,0.630993080236461
Support Vector Machine,Entire dataset,False,Power Transform,0.027124813436064838,0.1268905487424113,0.6456724277629793
Support Vector Machine,Entire dataset,9,Power Transform,0.04956703233132981,0.17223374852551893,0.3528920612146106
Support Vector Machine,Entire dataset,11,Power Transform,0.04507944465565982,0.1630834930948747,0.4111045974965305
Support Vector Machine,Entire dataset,98,Power Transform,0.02777003805155496,0.12604696479006555,0.6372934343120967
Support Vector Machine,Entire dataset,False,Power Transform Standardized,0.02756875355617509,0.12701641674211267,0.6398078679003664
Support Vector Machine,Entire dataset,9,Power Transform Standardized,0.04486427283884722,0.1634957714081547,0.4140004135615807
Support Vector Machine,Entire dataset,11,Power Transform Standardized,0.04177378203766586,0.15714546981593472,0.4543817969046854
Support Vector Machine,Entire dataset,98,Power Transform Standardized,0.027424729249087,0.1250906457367153,0.641819382178477
AdaBoost,Entire dataset,False,Standard Scaler,0.06296960899987727,0.20704306302765113,0.17861483570690673
AdaBoost,Entire dataset,9,Standard Scaler,0.06717445751721103,0.2133825201418808,0.12345681326699101
AdaBoost,Entire dataset,11,Standard Scaler,0.06557042358642205,0.2100742400445678,0.14445844153511198
AdaBoost,Entire dataset,98,Standard Scaler,0.059113347593157596,0.19962082585933988,0.22837671993832406
AdaBoost,Entire dataset,False,Power Transform,0.06232374491577123,0.2055106474092972,0.18748199472483867
AdaBoost,Entire dataset,9,Power Transform,0.06702075186264742,0.21295104666626236,0.12548471448551185
AdaBoost,Entire dataset,11,Power Transform,0.06494105687240481,0.20965327103325446,0.15249314369303207
AdaBoost,Entire dataset,98,Power Transform,0.05900383022957645,0.19999993404148655,0.2297624796059939
AdaBoost,Entire dataset,False,Power Transform Standardized,0.0642003156728341,0.2090585520375093,0.1623316150975272
AdaBoost,Entire dataset,9,Power Transform Standardized,0.06440976226715758,0.20839023524807962,0.15948296657304198
AdaBoost,Entire dataset,11,Power Transform Standardized,0.06377555559297012,0.20675060462307565,0.16764246466298593
AdaBoost,Entire dataset,98,Power Transform Standardized,0.05876811060001051,0.19836105144781127,0.23297487183875618
Bagging,Entire dataset,False,Standard Scaler,0.03281361817158289,0.13450464731217004,0.5713184455330631
Bagging,Entire dataset,9,Standard Scaler,0.04492658396420557,0.1623789530420257,0.4134538082304443
Bagging,Entire dataset,11,Standard Scaler,0.04453194802665135,0.16221310066901815,0.41894040084819517
Bagging,Entire dataset,98,Standard Scaler,0.03876782039093815,0.15152563563768714,0.49378090391525786
Bagging,Entire dataset,False,Power Transform,0.03197604297240981,0.13384495432412813,0.5823148883919348
Bagging,Entire dataset,9,Power Transform,0.046689730781685125,0.16549007798843993,0.38988856886018153
Bagging,Entire dataset,11,Power Transform,0.04352751663512825,0.16081586486784813,0.4312071808796386
Bagging,Entire dataset,98,Power Transform,0.039043142772237624,0.1517854914540731,0.4902271074991707
Bagging,Entire dataset,False,Power Transform Standardized,0.0325842157587595,0.13447696606354756,0.574406391489639
Bagging,Entire dataset,9,Power Transform Standardized,0.04345308102032978,0.1601630831792139,0.43301770417638463
Bagging,Entire dataset,11,Power Transform Standardized,0.04238836468353892,0.1579538667513102,0.44680398252083525
Bagging,Entire dataset,98,Power Transform Standardized,0.03760615102691952,0.14856341896827605,0.5086810046423034
KNeighborsRegressor,Entire dataset,False,Standard Scaler,0.030247772119410106,0.1268932675185887,0.6049768642615629
KNeighborsRegressor,Entire dataset,9,Standard Scaler,0.041153060515226145,0.15051605554813485,0.4628446844136467
KNeighborsRegressor,Entire dataset,11,Standard Scaler,0.03972045513821355,0.14788285980099955,0.48188571832244537
